protein,IHD,CM,ARR,VD,CHD,CCD,VOO,OTH
UniRef90_Q2KJ09,0,0,0.009675497,0,0.00998644,0.010495447,0,0
UniRef90_P23562,0.016826197,0.016190069,0.012497812,0.013202332,0.026411474,0,0,0.027973546
UniRef90_Q8VCI5,0,0,0,0,0.007914111,0,0,0
UniRef90_P47757,0.018599593,0.020567912,0,0,0,0,0,0
UniRef90_A0A2I3SPE2,0.010561848,0.016787486,0,0.016200845,0.014018462,0,0,0.00964286
UniRef90_Q9WVL0,0.007209598,0.007420517,0,0.008099792,0,0,0,0.011195901
UniRef90_I1SKJ7,0.004548674,0.007420599,0,0,0.011594972,0.005247261,0,0
UniRef90_Q5TBA9,0.022971865,0.022278071,0.004836173,0.010218888,0.004991625,0.005245774,0,0.007639801
UniRef90_H7C044,0,0.00468186,0,0,0,0,0,0
UniRef90_Q9HAU0-6,0,0,0.004837665,0,0,0,0,0
UniRef90_Q9D114,0,0,0,0.011866716,0,0,0,0
UniRef90_H2PS71,0,0,0,0.005110336,0,0,0.005545776,0
UniRef90_Q9UHX1,0.036240219,0.02682517,0.042578482,0.016874072,0.027453111,0.019319826,0,0.022804619
UniRef90_P97473,0.004548664,0.014843752,0,0,0.007913909,0,0,0
UniRef90_A0A2R8ZBI3,0.015739699,0.016199512,0,0.005109987,0.004992787,0,0.005545398,0.004821133
UniRef90_Q8R490,0.029411002,0.023205884,0.013572684,0.016192709,0.011585154,0,0,0.021179285
UniRef90_U6DT00,0.004548703,0.004681769,0.009675932,0,0,0.005247295,0,0.004821408
UniRef90_Q8BXK8,0,0,0,0.011866716,0,0,0,0
UniRef90_Q9Y2Q5,0,0,0,0,0.007914111,0,0,0
UniRef90_P30566,0.024387006,0.01988638,0.021905772,0.01021219,0.01789555,0.021474118,0,0.019706605
UniRef90_J3KSI6,0.01627253,0.05129806,0.039951429,0.01829112,0.052151285,0.033181488,0.008494979,0.0414852
UniRef90_B5DF55,0.009096866,0,0.016072742,0.011865889,0.015829176,0.014732533,0.005545054,0.016679744
UniRef90_D4A054,0.018598967,0.019895991,0,0,0.015828809,0,0,0.017284869
